Step,Signal
652,-0.982287
653,-0.960294
654,-0.929776
655,-0.891007
656,-0.844328
657,-0.790155
658,-0.728969
659,-0.661312
660,-0.587785
661,-0.509041
662,-0.425779
663,-0.338738
664,-0.24869
665,-0.156434
666,-0.0627905
667,0.0314108
668,0.125333
669,0.218143
670,0.309017
671,0.397148
672,0.481754
673,0.562083
674,0.637424
675,0.707107
676,0.770513
677,0.827081
678,0.876307
679,0.917755
680,0.951057
681,0.975917
682,0.992115
683,0.999507
684,0.998027
685,0.987688
686,0.968583
687,0.940881
688,0.904827
689,0.860742
690,0.809017
691,0.750111
692,0.684547
693,0.612907
694,0.535827
695,0.45399
696,0.368125
697,0.278991
698,0.187381
699,0.0941083
700,-9.80955e-16
701,-0.0941083
702,-0.187381
703,-0.278991
704,-0.368125
705,-0.45399
706,-0.535827
707,-0.612907
708,-0.684547
709,-0.750111
710,-0.809017
711,-0.860742
712,-0.904827
713,-0.940881
714,-0.968583
715,-0.987688
716,-0.998027
717,-0.999507
718,-0.992115
719,-0.975917
720,-0.951057
721,-0.917755
722,-0.876307
723,-0.827081
724,-0.770513
725,-0.707107
726,-0.637424
727,-0.562083
728,-0.481754
729,-0.397148
730,-0.309017
731,-0.218143
732,-0.125333
733,-0.0314108
734,0.0627905
735,0.156434
736,0.24869
737,0.338738
738,0.425779
739,0.509041
740,0.587785
741,0.661312
742,0.728969
743,0.790155
744,0.844328
745,0.891007
746,0.929776
747,0.960294
748,0.982287
749,0.995562
750,1
751,0.995562
752,0.982287
753,0.960294
754,0.929776
755,0.891007
756,0.844328
757,0.790155
758,0.728969
759,0.661312
760,0.587785
761,0.509041
762,0.425779
763,0.338738
764,0.24869
765,0.156434
766,0.0627905
767,-0.0314108
768,-0.125333
769,-0.218143
770,-0.309017
771,-0.397148
772,-0.481754
773,-0.562083
774,-0.637424
775,-0.707107
776,-0.770513
777,-0.827081
778,-0.876307
779,-0.917755
780,-0.951057
781,-0.975917
782,-0.992115
783,-0.999507
784,-0.998027
785,-0.987688
786,-0.968583
787,-0.940881
788,-0.904827
789,-0.860742
790,-0.809017
791,-0.750111
792,-0.684547
793,-0.612907
794,-0.535827
795,-0.45399
796,-0.368125
797,-0.278991
798,-0.187381
799,-0.0941083
800,-2.93915e-15
801,0.0941083
802,0.187381
803,0.278991
804,0.368125
805,0.45399
806,0.535827
807,0.612907
808,0.684547
809,0.750111
810,0.809017
811,0.860742
812,0.904827
813,0.940881
814,0.968583
815,0.987688
816,0.998027
817,0.999507
818,0.992115
819,0.975917
820,0.951057
821,0.917755
822,0.876307
823,0.827081
824,0.770513
825,0.707107
826,0.637424
827,0.562083
828,0.481754
829,0.397148
830,0.309017
831,0.218143
832,0.125333
833,0.0314108
834,-0.0627905
835,-0.156434
836,-0.24869
837,-0.338738
838,-0.425779
839,-0.509041
840,-0.587785
841,-0.661312
842,-0.728969
843,-0.790155
844,-0.844328
845,-0.891007
846,-0.929776
847,-0.960294
848,-0.982287
849,-0.995562
850,-1
851,-0.995562
852,-0.982287
853,-0.960294
854,-0.929776
855,-0.891007
856,-0.844328
857,-0.790155
858,-0.728969
859,-0.661312
860,-0.587785
861,-0.509041
862,-0.425779
863,-0.338738
864,-0.24869
865,-0.156434
866,-0.0627905
867,0.0314108
868,0.125333
869,0.218143
870,0.309017
871,0.397148
872,0.481754
873,0.562083
874,0.637424
875,0.707107
876,0.770513
877,0.827081
878,0.876307
879,0.917755
880,0.951057
881,0.975917
882,0.992115
883,0.999507
884,0.998027
885,0.987688
886,0.968583
887,0.940881
888,0.904827
889,0.860742
890,0.809017
891,0.750111
892,0.684547
893,0.612907
894,0.535827
895,0.45399
896,0.368125
897,0.278991
898,0.187381
899,0.0941083
900,6.85926e-15
901,-0.0941083
902,-0.187381
903,-0.278991
904,-0.368125
905,-0.45399
906,-0.535827
907,-0.612907
908,-0.684547
909,-0.750111
910,-0.809017
911,-0.860742
912,-0.904827
913,-0.940881
914,-0.968583
915,-0.987688
916,-0.998027
917,-0.999507
918,-0.992115
919,-0.975917
920,-0.951057
921,-0.917755
922,-0.876307
923,-0.827081
924,-0.770513
925,-0.707107
926,-0.637424
927,-0.562083
928,-0.481754
929,-0.397148
930,-0.309017
931,-0.218143
932,-0.125333
933,-0.0314108
934,0.0627905
935,0.156434
936,0.24869
937,0.338738
938,0.425779
939,0.509041
940,0.587785
941,0.661312
942,0.728969
943,0.790155
944,0.844328
945,0.891007
946,0.929776
947,0.960294
948,0.982287
949,0.995562
950,1
951,0.995562
952,0.982287
953,0.960294
954,0.929776
955,0.891007
956,0.844328
957,0.790155
958,0.728969
959,0.661312
960,0.587785
961,0.509041
962,0.425779
963,0.338738
964,0.24869
965,0.156434
966,0.0627905
967,-0.0314108
968,-0.125333
969,-0.218143
970,-0.309017
971,-0.397148
972,-0.481754
973,-0.562083
974,-0.637424
975,-0.707107
976,-0.770513
977,-0.827081
978,-0.876307
979,-0.917755
980,-0.951057
981,-0.975917
982,-0.992115
983,-0.999507
984,-0.998027
985,-0.987688
986,-0.968583
987,-0.940881
988,-0.904827
989,-0.860742
990,-0.809017
991,-0.750111
992,-0.684547
993,-0.612907
994,-0.535827
995,-0.45399
996,-0.368125
997,-0.278991
998,-0.187381
999,-0.0941083
